Date,Price,Open,High,Low,Vol.,Change %
10/22/2010,"5,741.37","5,747.80","5,756.00","5,721.80",0,-0.29
10/21/2010,"5,757.86","5,709.50","5,787.50","5,696.80",0,0.5
10/20/2010,"5,728.93","5,684.40","5,730.50","5,678.50",0,0.44
10/19/2010,"5,703.89","5,738.50","5,762.50","5,687.50",0,-0.67
10/18/2010,"5,742.52","5,681.60","5,750.50","5,668.50",0,0.69
10/15/2010,"5,703.37","5,750.70","5,750.70","5,663.50",0,-0.42
10/14/2010,"5,727.21","5,767.80","5,770.80","5,711.30",0,-0.35
10/13/2010,"5,747.35","5,691.60","5,761.30","5,686.30",0,1.51
10/12/2010,"5,661.59","5,643.50","5,677.80","5,595.80",0,-0.19
10/11/2010,"5,672.40","5,670.70","5,685.80","5,654.80",0,0.26
10/8/2010,"5,657.61","5,653.50","5,663.80","5,604.50",0,-0.08
10/7/2010,"5,662.13","5,687.60","5,708.50","5,648.80",0,-0.34
10/6/2010,"5,681.39","5,659.20","5,694.30","5,653.50",0,0.81
10/5/2010,"5,635.76","5,564.50","5,647.30","5,548.50",0,1.44
10/4/2010,"5,555.97","5,607.30","5,607.30","5,549.00",0,-0.66
10/1/2010,"5,592.90","5,582.50","5,617.50","5,559.80",0,0.8
9/30/2010,"5,548.62","5,551.80","5,653.50","5,537.50",0,-0.37
9/29/2010,"5,569.27","5,606.00","5,625.80","5,542.50",0,-0.16
9/28/2010,"5,578.44","5,563.30","5,583.80","5,504.80",0,0.09
9/27/2010,"5,573.42","5,603.80","5,615.50","5,569.00",0,-0.45
9/24/2010,"5,598.48","5,526.30","5,612.80","5,517.00",0,0.93
9/23/2010,"5,547.08","5,584.50","5,591.00","5,470.00",0,-0.27
9/22/2010,"5,562.02","5,597.00","5,599.50","5,515.50",0,-0.25
9/21/2010,"5,576.19","5,593.30","5,637.50","5,572.80",0,-0.47
9/20/2010,"5,602.54","5,539.50","5,607.50","5,535.30",0,1.71
9/17/2010,"5,508.45","5,588.80","5,618.30","5,497.30",0,-0.57
9/16/2010,"5,540.14","5,552.30","5,565.50","5,533.00",0,-0.3
9/15/2010,"5,557.07","5,572.50","5,579.30","5,534.80",0,-0.19
9/14/2010,"5,567.41","5,568.50","5,584.00","5,541.30",0,0.03
9/13/2010,"5,565.53","5,554.90","5,573.00","5,529.80",0,1.16
9/10/2010,"5,501.64","5,472.50","5,511.80","5,472.50",0,0.14
9/9/2010,"5,494.16","5,415.00","5,504.80","5,409.80",0,1.19
9/8/2010,"5,429.74","5,381.80","5,445.80","5,360.00",0,0.41
9/7/2010,"5,407.82","5,428.50","5,430.00","5,380.00",0,-0.58
9/6/2010,"5,439.19","5,459.80","5,461.80","5,432.00",0,0.2
9/3/2010,"5,428.15","5,383.30","5,455.80","5,372.80",0,1.06
9/2/2010,"5,371.04","5,348.00","5,384.50","5,342.30",0,0.09
9/1/2010,"5,366.41","5,248.50","5,371.80","5,224.80",0,2.7
8/31/2010,"5,225.22","5,143.30","5,226.80","5,128.30",0,0.45
8/27/2010,"5,201.56","5,138.30","5,219.80","5,119.80",0,0.89
8/26/2010,"5,155.84","5,146.90","5,168.80","5,125.30",0,0.75
